City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,arkhangel'sk,64.5401,40.5433,275.35,64,54,3.33,RU,1698046956
351,dhidhdhoo,6.8833,73.1,300.69,73,100,2.77,MV,1698046956
352,brookings,44.3114,-96.7984,284.36,82,75,4.12,US,1698046747
353,malango,-2.9627,119.9001,296.98,87,92,0.86,ID,1698046957
354,kovdor,67.5662,30.4758,266.73,89,23,1.45,RU,1698046957
355,ancud,-41.8697,-73.8203,279.59,92,75,0.97,CL,1698046957
356,barth,54.3635,12.7249,282.62,86,53,6.19,DE,1698046958
357,isagarh,24.8333,77.8833,303.25,29,0,4.21,IN,1698046958
358,pinhao,-25.6956,-51.6597,287.49,86,100,1.59,BR,1698046959
359,birao,10.2849,22.7882,304.73,27,45,3.61,CF,1698046959
360,port blair,11.6667,92.75,302.17,79,40,2.57,IN,1698046959
361,urucurituba,-2.6833,-57.6667,296.01,97,97,1.07,BR,1698046960
362,tavda,58.0425,65.2726,274.87,49,74,5.44,RU,1698046960
363,mount pearl,47.5166,-52.7813,280.45,96,100,4.12,CA,1698046960
364,nikolayevsk-on-amure,53.1406,140.73,273.61,62,6,2.9,RU,1698046961
365,hotan,37.0997,79.9269,295.23,10,4,4.08,CN,1698046961
366,ulladulla,-35.35,150.4667,290.44,64,0,2.4,AU,1698046961
367,alice springs,-23.7,133.8833,309.9,8,27,5.66,AU,1698046962
368,malax,62.9423,21.5731,274.75,95,0,0.51,FI,1698046962
369,ustyuzhna,58.8394,36.4321,274.68,94,100,1.7,RU,1698046962
370,farnham,51.2143,-0.7959,285.06,80,0,4.12,GB,1698046963
371,roma,43.2128,-75.4557,279.72,88,100,4.63,US,1698046963
372,laranjeira,-5.2833,-38.8667,297.07,78,100,3.47,BR,1698046963
373,gadzhiyevo,69.2551,33.3362,275.64,69,100,8.51,RU,1698046964
374,saint-francois,46.4154,3.9054,282.95,88,100,5.14,FR,1698046964
375,reggane,26.7158,0.1714,303.38,22,100,5.47,DZ,1698046964
376,guerrero negro,27.9769,-114.0611,293.19,79,84,9.12,MX,1698046965
377,xinqing,48.2333,129.5,281.7,57,0,2.61,CN,1698046965
378,ban chang,12.7254,101.0553,302.92,70,20,4.12,TH,1698046965
379,egilsstadir,65.2653,-14.3948,277.1,93,100,4.12,IS,1698046966
380,igarka,67.4667,86.5833,272.12,90,88,0.64,RU,1698046966
381,bandar lampung,-5.4254,105.258,304.99,49,65,4.28,ID,1698046966
382,san luis de la loma,17.2706,-100.8939,297.63,88,99,1.98,MX,1698046967
383,richards bay,-28.783,32.0377,294.58,57,5,3.63,ZA,1698046967
384,acajutla,13.5928,-89.8275,298.25,87,63,2.34,SV,1698046968
385,vodnyy,63.5046,53.4095,273.55,64,99,5.03,RU,1698046968
386,ipatovo,45.7181,42.9036,294.46,43,38,4.32,RU,1698046968
387,columbia falls,48.3725,-114.1815,281.16,94,100,0.0,US,1698046969
388,monte alegre,-2.0078,-54.0692,298.18,85,62,2.11,BR,1698046969
389,qamdo,31.1667,97.2333,279.41,26,6,2.85,CN,1698046969
